YEAR,PLAYER,AVERAGE
2021,Bryson DeChambeau,323.7
2021,Rory McIlroy,319.3
2021,Cameron Champ,317.1
2021,Matthew Wolff,315.9
2021,Will Gordon,315
2021,Wyndham Clark,314.6
2021,Dustin Johnson,312.9
2021,Luke List,312.7
2021,Jhonattan Vegas,312.1
2021,Brandon Hagy,311.6
2021,Ryan Brehm,311.5
2021,Brooks Koepka,310.7
2021,Joaquin Niemann,310.6
2021,Joseph Bramlett,309.6
2021,Gary Woodland,309.5
2021,Sergio Garcia,309.4
2021,Tyler McCumber,309.4
2021,Dylan Frittelli,309.3
2021,Cam Davis,309
2021,Jon Rahm,309
2021,Jason Kokrak,307.9
2021,Xander Schauffele,307.6
2021,Will Zalatoris,307.4
2021,Keith Mitchell,307.2
2021,Kevin Tway,307
2021,Patrick Rodgers,306.7
2021,Stewart Cink,306.6
2021,Charley Hoffman,306.5
2021,Adam Scott,306
2021,Scott Harrington,305.8
2021,Tony Finau,305.5
2021,Grayson Murray,305.5
2021,Sam Burns,305.3
2021,Erik van Rooyen,305.3
2021,Beau Hossler,305.1
2021,Scottie Scheffler,305
2021,Kris Ventura,304.7
2021,Ryan Palmer,304.6
2021,Bubba Watson,304.6
2021,Matt Jones,304
2021,Paul Casey,303.9
2021,Justin Thomas,303.9
2021,Martin Trainer,303.6
2021,Sepp Straka,303.2
2021,Hudson Swafford,303.1
2021,Carlos Ortiz,303
2021,Charl Schwartzel,303
2021,Lanto Griffin,302.9
2021,J.B. Holmes,302.9
2021,Patrick Cantlay,302.8
2021,Byeong Hun An,302.6
2021,Tom Lewis,302.5
2021,Viktor Hovland,302.2
2021,Phil Mickelson,301.8
2021,Patton Kizzire,300.9
2021,Tommy Fleetwood,300.8
2021,Max Homa,300.8
2021,Harold Varner III,300.7
2021,Aaron Wise,300.6
2021,Jason Day,300.3
2021,Keegan Bradley,300.2
2021,Rafael Campos,299.9
2021,Hideki Matsuyama,299.9
2021,J.T. Poston,299.9
2021,Shane Lowry,299.6
2021,Adam Schenk,299.5
2021,Jordan Spieth,299.5
2021,Harris English,299.4
2021,Sebastian Cappelen,299.3
2021,Brendan Steele,299.3
2021,Nick Watney,299.3
2021,Talor Gooch,299.1
2021,Michael Gligic,299
2021,Tyrrell Hatton,299
2021,Harry Higgs,298.9
2021,Bronson Burgoon,298.8
2021,Maverick McNealy,298.7
2021,Danny Lee,298.5
2021,Sean O'Hair,298.5
2021,Anirban Lahiri,298.4
2021,K.H. Lee,298.4
2021,Matt Wallace,298.4
2021,Emiliano Grillo,298.2
2021,Scott Piercy,298.2
2021,Alex Noren,297.9
2021,Cameron Smith,297.9
2021,Louis Oosthuizen,297.8
2021,Charles Howell III,297.6
2021,Chesson Hadley,297.5
2021,Sebastián Muñoz,297.5
2021,Justin Rose,297.5
2021,Cameron Tringale,297.5
2021,Scott Stallings,297.4
2021,Jimmy Walker,297.4
2021,Sam Ryder,297.2
2021,James Hahn,297.1
2021,Sungjae Im,297.1
2021,Rickie Fowler,297
2021,Daniel Berger,296.7
2021,Vince Whaley,296.6
2021,Si Woo Kim,296.3
2021,C.T. Pan,296.3
2021,Hunter Mahan,296.2
2021,Martin Laird,295.9
2021,Matthew NeSmith,295.9
2021,Bill Haas,295.8
2021,Roger Sloan,295.8
2021,Kevin Streelman,295.6
2021,Ben Taylor,295.6
2021,Corey Conners,295.4
2021,Denny McCarthy,295.4
2021,Collin Morikawa,295.2
2021,Seamus Power,295.1
2021,Hank Lebioda,295
2021,Lucas Glover,294.9
2021,Billy Horschel,294.7
2021,Scott Brown,294.5
2021,Henrik Norlander,294.1
2021,Lee Westwood,294.1
2021,Doc Redman,294
2021,Nick Taylor,294
2021,Richy Werenski,293.9
2021,Danny Willett,293.9
2021,Branden Grace,293.8
2021,Marc Leishman,293.8
2021,Robby Shelton,293.7
2021,Matt Fitzpatrick,293.5
2021,Mackenzie Hughes,293.5
2021,Adam Hadwin,293.4
2021,Michael Kim,293.2
2021,Bo Van Pelt,293.2
2021,Doug Ghim,292.9
2021,Sung Kang,292.7
2021,Jim Herman,292.5
2021,Webb Simpson,292.5
2021,Camilo Villegas,292.5
2021,Nate Lashley,292.4
2021,Ben Martin,292.4
2021,Joel Dahmen,292.3
2021,Robert Streb,292.3
2021,Pat Perez,292.2
2021,Michael Gellerman,292.1
2021,Kyle Stanley,292.1
2021,Chris Baker,291.9
2021,Chris Kirk,291.9
2021,D.J. Trahan,291.9
2021,Brian Harman,291.7
2021,Xinjun Zhang,291.7
2021,Patrick Reed,291.4
2021,Rhein Gibson,291.2
2021,Russell Knox,291.2
2021,Chase Seiffert,290.9
2021,Kramer Hickok,290.8
2021,Bo Hoag,290.7
2021,John Huh,290.5
2021,Peter Malnati,290.5
2021,Abraham Ancer,290.4
2021,Andrew Landry,290.4
2021,Tyler Duncan,290
2021,Josh Teater,290
2021,Troy Merritt,289.9
2021,Russell Henley,289.8
2021,Jason Dufner,289.6
2021,Aaron Baddeley,289.3
2021,Austin Cook,289.2
2021,Tom Hoge,289.2
2021,Kevin Kisner,289.1
2021,Zach Johnson,289
2021,Adam Long,288.6
2021,Kevin Na,288.5
2021,"Ted Potter, Jr.",288.4
2021,Nelson Ledesma,288.2
2021,Brice Garnett,288.1
2021,Michael Thompson,288.1
2021,Rafa Cabrera Bello,288
2021,Matt Kuchar,287.8
2021,Rory Sabbatini,287.5
2021,Brian Gay,286.8
2021,Mark Anderson,286.7
2021,Cameron Percy,286.7
2021,Brandt Snedeker,286.6
2021,Satoshi Kodaira,286.2
2021,Luke Donald,286.1
2021,J.J. Spaun,285.7
2021,Ian Poulter,285.2
2021,Rob Oppenheim,284.2
2021,Andrew Putnam,283.8
2021,Fabián Gómez,283.3
2021,Ryan Armour,282
2021,Chez Reavie,281.9
2021,Mark Hubbard,280.2
2021,Vaughn Taylor,278.4
2021,Brian Stuard,277.8
2021,Brendon Todd,275.2
2021,David Hearn,274.7
2021,K.J. Choi,269.2
2020,Bryson DeChambeau,322.1
2020,Cameron Champ,322
2020,Ryan Brehm,315.3
2020,Rory McIlroy,314
2020,Grayson Murray,313.8
2020,Brandon Hagy,312.8
2020,Jason Kokrak,312.4
2020,Sam Burns,312
2020,Matthew Wolff,311.6
2020,Dustin Johnson,311
2020,Bubba Watson,311
2020,Tyler McCumber,310.2
2020,Tony Finau,309.8
2020,Tommy Fleetwood,309.6
2020,Jhonattan Vegas,309
2020,Scottie Scheffler,308.9
2020,Will Gordon,308.8
2020,Patrick Rodgers,308.5
2020,Adam Scott,308.1
2020,Cam Davis,308
2020,Luke List,307.8
2020,Jon Rahm,307.6
2020,Paul Casey,307.2
2020,Scott Harrington,307.1
2020,Brooks Koepka,307
2020,Beau Hossler,306.6
2020,Sergio Garcia,305.8
2020,Byeong Hun An,305.7
2020,Kris Ventura,305.7
2020,Xander Schauffele,305.4
2020,Gary Woodland,305.4
2020,Wyndham Clark,305.1
2020,Seamus Power,304.5
